,polarity,id,date,query,user,tweet
438676,negative,2066241193,Sun Jun 07 10:08:57 PDT 2009,NO_QUERY,putriharahap,i cannot sleep with an empty stomach 
449097,negative,2069165480,Sun Jun 07 15:22:52 PDT 2009,NO_QUERY,betters,also somebody just threw his banana peel @ a random big dude 
1520528,positive,2176209024,Mon Jun 15 03:13:45 PDT 2009,NO_QUERY,techyuppie,@gk4r Can you DM me the link to the system you were telling me about yesterday.  The IM was on my Mac and I have my PC running again. 
741319,negative,2266231078,Sun Jun 21 08:08:24 PDT 2009,NO_QUERY,default_bb,@vvrain im up to wk3 lol...now in front of my pc trying to install something  oh n the assignment mark is out la der. my group sucks
1242404,positive,1994229059,Mon Jun 01 11:36:45 PDT 2009,NO_QUERY,captionsarecool,exempt from all but two classes 
955917,positive,1825121930,Sun May 17 04:26:31 PDT 2009,NO_QUERY,KayeLacio,I am excited for tomorrow  Wooot what else should I do?
437516,negative,2065941090,Sun Jun 07 09:35:14 PDT 2009,NO_QUERY,tygerlilyjp,I don't like my new playlist that I made. Need to keep working at it. 
1379520,positive,2052139870,Fri Jun 05 23:46:54 PDT 2009,NO_QUERY,paoolinna,"Me voy  !! I'm really tired: S a lot of work today, tomorrow a new day, and very heavy, good nights rest â¥ Byee"
462737,negative,2174762950,Sun Jun 14 23:15:31 PDT 2009,NO_QUERY,xxKrissy,NOOOOO! My charger is broken!  I can't charge my laptop and its almost out of battery! THIS LAPTOP SUCKS!! :'(
1301796,positive,2007831713,Tue Jun 02 13:13:01 PDT 2009,NO_QUERY,Mo_Shell,@HoustonTheChise I have never seen anyone tweet so much in my life!!! Calm down 
836965,positive,1558619357,Sun Apr 19 08:55:14 PDT 2009,NO_QUERY,criiistaaayyy,Had a gooood wekeend  now having a biiig breakfast to then do my HW and have the night off
1145610,positive,1977806975,Sat May 30 21:45:14 PDT 2009,NO_QUERY,BlaxicanQueen,@CountRickTer i dunno how to do that from my phone but the answer to ur question is yup  u?
1227616,positive,1991035242,Mon Jun 01 06:16:21 PDT 2009,NO_QUERY,_andre1313,@_Angeline_ che vuol dire pinch?? lol 
952708,positive,1824506264,Sun May 17 01:40:34 PDT 2009,NO_QUERY,erika_amber,i love boy sweatshirts. 
767857,negative,2300718963,Tue Jun 23 14:30:22 PDT 2009,NO_QUERY,coronakim,"@SkotchDavis you're not having a good week, I suspect through your tweets "
1207497,positive,1988703460,Sun May 31 23:07:53 PDT 2009,NO_QUERY,Kitsykhat,Take me now Robert Pattinson 
441725,negative,2067085546,Sun Jun 07 11:43:15 PDT 2009,NO_QUERY,alannamacaulay,Why do things have to cost money 
1547268,positive,2182681894,Mon Jun 15 13:29:45 PDT 2009,NO_QUERY,Ruth_Less1,@xwidep Yeah my friend @OneHeadlightInk gave them a makeover haha. Being a kiwi John Rowles was the coolest thing haha 
161105,negative,1957218546,Thu May 28 23:51:28 PDT 2009,NO_QUERY,bugyboo,I hate TweetDeck when it reaches access limits 
489847,negative,2183140293,Mon Jun 15 14:05:58 PDT 2009,NO_QUERY,esperanzagomez,@thisisryanross whats wrong 
574618,negative,2210526672,Wed Jun 17 11:41:40 PDT 2009,NO_QUERY,ThiagoAcquaviva,"yeah i know, @mayalabeeDC3 i'm trying to! but this subject is really hard "
668459,negative,2245942882,Fri Jun 19 16:51:59 PDT 2009,NO_QUERY,adamjackson,Went to the eye doctor. It was either buy groceries or get my eyes checked   it's been years
952104,positive,1824389278,Sun May 17 01:10:20 PDT 2009,NO_QUERY,Soliee,has anyone seen angels&amp;demons?! it seems good but idk! people could be lying lol. well i'll go watch it tomorrow anyway 
91349,negative,1759465383,Sun May 10 19:16:18 PDT 2009,NO_QUERY,TurnErika,I miss volunteering   Just waiting to settle into a real schedule so I can find a new place to volunteer
1169736,positive,1980296050,Sun May 31 06:19:17 PDT 2009,NO_QUERY,shuyi89,Heading back home from serdang now. Wonderful+delicious dinner we had today 
10595,negative,1550986481,Sat Apr 18 07:49:51 PDT 2009,NO_QUERY,twylightsoul,Today is totally a death day 
1599380,positive,2193427969,Tue Jun 16 08:26:43 PDT 2009,NO_QUERY,oawilliamson,Watching toy story with Nate  he sure does have great taste when it comes to movies...josh might have some competition ;)
353063,negative,2031682638,Thu Jun 04 10:10:06 PDT 2009,NO_QUERY,sgfernandez,"@CaliArchie not fair, I want to go to San Diego!  It's been fo-eva!!!"
525108,negative,2193751048,Tue Jun 16 08:52:54 PDT 2009,NO_QUERY,amylovesvictor,cleanin' house   BOOOooorinnnNNNNGGGG!
5892,negative,1469222090,Tue Apr 07 05:39:45 PDT 2009,NO_QUERY,cathydietz,DANG VIRUS!  I've avoided the sickness thing going around but one of my computers has not... crap 
886193,positive,1686663470,Sun May 03 06:19:31 PDT 2009,NO_QUERY,coreydahlevent,"@bethstill Q: Can you move iTunes Library?  Answer: I believe so. (he says with, oh....about 95% certainty....  "
1490248,positive,2068853367,Sun Jun 07 14:49:09 PDT 2009,NO_QUERY,lariicodello,Just arrived from my grandmother's house ! I ate a LOT today  and slept a LOT too  going to do my homework and then sleep more ! xD
109786,negative,1824657300,Sun May 17 02:20:46 PDT 2009,NO_QUERY,anggelai,is super sunburned..  http://plurk.com/p/ub3sm
295274,negative,1996821108,Mon Jun 01 15:45:06 PDT 2009,NO_QUERY,JP001,Fuck me I have to go to a wedding Saturday.  The groom's grandfather died last night. They're not burying him b4 the wedding.  Eeeeek 
509997,negative,2189548593,Tue Jun 16 00:17:51 PDT 2009,NO_QUERY,jaronmc,"Eating cookies I made. So gross, they are 50% butter, but it feels like 95% butter and a few specks of chocolate "
350702,negative,2018026966,Wed Jun 03 09:19:19 PDT 2009,NO_QUERY,danzr23,working on my online classes  ugh this sucks
508128,negative,2189087456,Mon Jun 15 23:12:46 PDT 2009,NO_QUERY,adrian_bacon,one of my younger sisters from out of town has been here for almost a week and I've seen her for less than an hour. She leaves tomorrow. 
21097,negative,1557210854,Sun Apr 19 02:40:29 PDT 2009,NO_QUERY,Stoatboy,mega tired today. Might have had somethting today with downstair singing away until the early hours friday/saturday 
441053,negative,2066903127,Sun Jun 07 11:23:08 PDT 2009,NO_QUERY,spiralstairs,What are the chances of this happening? Poor bird  http://youtube.com/watch?v=RtlLX3DUrik
1079002,positive,1967981923,Fri May 29 20:33:20 PDT 2009,NO_QUERY,mamalovespapa,"@ChicoLaura Very quiet, a little sad, but my goal is to get lots of rest!  They're at a father/son campout."
620302,negative,2228293571,Thu Jun 18 14:15:32 PDT 2009,NO_QUERY,stu_art_ist,@overtimeagain I am beginning to think that men are overlooked  when it comes to BLOATING. All adverts seem to be geared to the females 
2519,negative,1468392374,Tue Apr 07 01:23:22 PDT 2009,NO_QUERY,digitalgravy,thinking the shorts and flip flops may have been a bad idea 
381462,negative,2052790271,Sat Jun 06 02:01:59 PDT 2009,NO_QUERY,1195James,Not a very happy birthday today 
1402429,positive,2054707186,Sat Jun 06 07:55:33 PDT 2009,NO_QUERY,nicksak,"@Deflectivity Yes, and if I recall it correctly, this is all thx to you! Good call! "
1251759,positive,1996576148,Mon Jun 01 15:19:08 PDT 2009,NO_QUERY,jaderoberts91,@FredHorn I am pretty hot I have to agree with you 
1535320,positive,2178985551,Mon Jun 15 08:29:07 PDT 2009,NO_QUERY,mtbscrivo,Swelling in my knee completely gone down. Hopeful for some DH action at the weekend 
919333,positive,1753804326,Sun May 10 03:32:20 PDT 2009,NO_QUERY,MissxMarisa,@gh_rocks Aww how sweet you are 
541712,negative,2200191637,Tue Jun 16 18:33:45 PDT 2009,NO_QUERY,Lil_Myrick10,Doesn't feel good at all 
20150,negative,1557010769,Sun Apr 19 01:30:57 PDT 2009,NO_QUERY,JohnCab,"@t_nutty y'all lucky, I'm so 2000 n late, hangin @ yur pad alone, neen doin his thang in his room, wish I was partyin wid u guys "
131177,negative,1835470189,Mon May 18 06:03:53 PDT 2009,NO_QUERY,EMILYGMILLIE,Upset that my phone is on its last bar dying on me... left my chargers 1 @ work n the other @ the condo 
374724,negative,2051302545,Fri Jun 05 21:34:40 PDT 2009,NO_QUERY,vanillablair,@alexiszlamal yeah we did! just the flask but i didn't realise that that was enough lol! and i even spilt the remaining quarter of mine 
178350,negative,1965946422,Fri May 29 16:50:15 PDT 2009,NO_QUERY,DawnCharlton,"Just chillin' in pjs after a short, but long week - why is someone continually knocking at my door? "
74002,negative,1694684779,Mon May 04 03:42:43 PDT 2009,NO_QUERY,fizzel89,i'm pretty freakin hungry right now...time to grab some breakfast. just pulled an allnighter finishin up on schoolwork 
573062,negative,2209631701,Wed Jun 17 10:36:48 PDT 2009,NO_QUERY,nurainijumat,"@FizaSuperstar haha. wei, melayu betul kan sikit. whats with the &quot;dah da&quot; eh? We should have went to Clarke Quay tadiiiiiiiiiii! "
465862,negative,2175433653,Mon Jun 15 00:58:45 PDT 2009,NO_QUERY,rohansingh,@VelvetSyndicate There's also the fact that Kim is violating the Partial Test Ban Treaty the way his tests are setup. Bad for the planet 
1558185,positive,2185778159,Mon Jun 15 17:53:30 PDT 2009,NO_QUERY,Buildabear96,@iluvJonas_  haha i guess i'm lucky.. still waiting for Demi and Miley to reply to me 
1507899,positive,2174568537,Sun Jun 14 22:49:48 PDT 2009,NO_QUERY,Documentally,@loudmouthman  Cheers man.. I am just heading to bed over here.. 
10097,negative,1550773460,Sat Apr 18 07:13:48 PDT 2009,NO_QUERY,TidyCat,looks like another beautiful day here today - i love it! sorry @uppercanuck @Spoonsie 
1456991,positive,2063546572,Sun Jun 07 03:05:53 PDT 2009,NO_QUERY,toothpaster,King crab for din dins  http://yfrog.com/0fwk1tj
133712,negative,1836072494,Mon May 18 07:19:03 PDT 2009,NO_QUERY,farleyvaughan,has maccys from 5 till close 
1152100,positive,1978683610,Sun May 31 00:07:30 PDT 2009,NO_QUERY,prateekgupta,@CruciFire Hey man!!! Nothing much..Deciding on a critical life changing decision to have a bath or not  Wassup with u ??
504984,negative,2188275770,Mon Jun 15 21:36:16 PDT 2009,NO_QUERY,ashley_roxanne," I work at 930 the morning after crank mob. ill have to cut this one short too, total bummer"
713983,negative,2258989105,Sat Jun 20 16:50:02 PDT 2009,NO_QUERY,PiCKLEZnPB,Tryna talk my mother into getting with the twitter movement. And tryna find somethin to do in el paso tx 
1355581,positive,2047485491,Fri Jun 05 13:43:23 PDT 2009,NO_QUERY,DominaCaffeine,@Storm_Crow Catching up on comics is vitally important to save the universe 
28570,negative,1559709574,Sun Apr 19 11:51:01 PDT 2009,NO_QUERY,trudietess,@TeamFRSH I'm so jealous. All I have are updates on my phone. 
180868,negative,1966663873,Fri May 29 18:10:25 PDT 2009,NO_QUERY,Holly2yay,Flight was cancelled!  what luck. We'll leave tmrw at 1135am.
1118151,positive,1973552402,Sat May 30 11:22:24 PDT 2009,NO_QUERY,eweM,@mcraddictal hey  How're u ? 
612636,negative,2225048379,Thu Jun 18 10:14:50 PDT 2009,NO_QUERY,faceonmars,Just returned from my rental storage area.... nothing more fun then packing stuff in heat and humidity 
786650,negative,2324709103,Thu Jun 25 03:51:08 PDT 2009,NO_QUERY,michaela_lynn,woke up at 4am with a stomach bug. havent slept since then 
396541,negative,2056391851,Sat Jun 06 11:03:38 PDT 2009,NO_QUERY,melissacalderon,"is cooking chorizo, knowing the doesnt get to scramble some eggs in it and eat it right now. "
798458,negative,2328552843,Thu Jun 25 09:43:11 PDT 2009,NO_QUERY,alphakamp,@zelut hey now Im an ITT Tech grad 
144562,negative,1881994502,Fri May 22 06:00:57 PDT 2009,NO_QUERY,Neetole,@nitinsgr has to be the world coz it has nuthin to do with da net n im using da lappy which is fast!! or maybe its just me 
199216,negative,1971383943,Sat May 30 06:58:56 PDT 2009,NO_QUERY,judez_xo,arggghh I miss Chelsea 
508802,negative,2189257158,Mon Jun 15 23:36:33 PDT 2009,NO_QUERY,HToshiko,I want hearts and stars on my tweets and my bf won't show me how 
141898,negative,1881362703,Fri May 22 04:26:28 PDT 2009,NO_QUERY,SMSMSMSM,"Soooo sleepy, and i didnt have time to straighten my hair this morning "
165775,negative,1961045023,Fri May 29 08:54:06 PDT 2009,NO_QUERY,crinkle_LC,Turned my alarm off this morning because I thought it was Saturday. Had to rush to get ready for work because its def not Saturday   #FAIL
1300504,positive,2006652613,Tue Jun 02 11:29:03 PDT 2009,NO_QUERY,jakelikescakke,"heey, just to make it sure: WHEN I FOLLOW YOU, YOU'VE TO FOLLOW ME TOO, that's just fair. well.. i'll use that as a YEESS "
589966,negative,2217171399,Wed Jun 17 20:29:33 PDT 2009,NO_QUERY,sarahthesmall,@Agearis  poor thing
844649,positive,1564089499,Mon Apr 20 01:43:07 PDT 2009,NO_QUERY,SazziGirl,@PaulWaldorf HAYY Paul! Nice background 
961398,positive,1827054836,Sun May 17 09:53:48 PDT 2009,NO_QUERY,PetV,"@woodlandalyssa Not sure how that pic was made, these are just as awesome, but I know noone got hurt  http://tinyurl.com/r9twcr"
678272,negative,2248927888,Fri Jun 19 21:25:25 PDT 2009,NO_QUERY,ChicagoLatina80,I wish i knew Spanish-my parents never taught me. I only know baby words 
142657,negative,1881531444,Fri May 22 04:55:00 PDT 2009,NO_QUERY,Smokingfairy,for some reason????searching for people on twitter comes up with no results  hope its not server probs!
680107,negative,2249405831,Fri Jun 19 22:16:07 PDT 2009,NO_QUERY,youcantrewind,@youwreckme_ 
1524131,positive,2176680549,Mon Jun 15 04:29:51 PDT 2009,NO_QUERY,winniemzembe,well im off xx  byee
978148,positive,1833804427,Mon May 18 00:31:06 PDT 2009,NO_QUERY,SpenserG89,"@joyebeth I sent you a direct message on twitter, idk how it work but i sent you one! lol (concerning mono and Buffy!) "
691326,negative,2252210871,Sat Jun 20 05:44:21 PDT 2009,NO_QUERY,MissyMinxx,@VixPSP OMGosh poor thing  Hoep she makes a speedy recovery Hugs xx
769420,negative,2301389427,Tue Jun 23 15:22:38 PDT 2009,NO_QUERY,JPSalamanca,@amberrkinz But I wanna be stalked!  ;_;  Just once!  I make cool music videos.  Wanna see? ==&gt; http://www.youtube.com/JPSalamancaMusic
77781,negative,1751029105,Sat May 09 18:29:58 PDT 2009,NO_QUERY,iambak,@Isa_Marie your very welcome!!! I tired to watch it on my computer but I have a Mac 
541082,negative,2199968606,Tue Jun 16 18:15:19 PDT 2009,NO_QUERY,rudzi90,.. I missed the biggest party ever to hit SA! So so so so sad  ANYWAYS thats life.. Gotta stay on my grind! SCHOOL FIRST! Missing my b ...
751747,negative,2286217573,Mon Jun 22 16:09:02 PDT 2009,NO_QUERY,missbrezzyd,taking a lil break frm studying. {sad i missed my ballet class tonite  }
1408783,positive,2055745858,Sat Jun 06 09:52:49 PDT 2009,NO_QUERY,shopaholic448,Horseback riding in like and hour... leaving soon  &lt;3
1430206,positive,2059865627,Sat Jun 06 17:47:37 PDT 2009,NO_QUERY,Purplefishes,Just got my butt kicked by the chess players in Washington Square Park.  What an adventure 
527568,negative,2194693655,Tue Jun 16 10:08:09 PDT 2009,NO_QUERY,mightymouse07,I dont feel well...  ... vertigo/sinus pressure
162200,negative,1957492349,Fri May 29 00:40:17 PDT 2009,NO_QUERY,Naibabi,"@dawndela yeh still have the weekend, but I get weekends anyways, today is my full last day of vacation time "
1470988,positive,2065133654,Sun Jun 07 07:58:05 PDT 2009,NO_QUERY,DondiScumaci,@alphamares Hey you in the cool hat. Good morning. 
1091192,positive,1969865059,Sat May 30 01:31:14 PDT 2009,NO_QUERY,Marwanie,@timmorgan Any chance of an invite? Thanks 
641259,negative,2235198961,Fri Jun 19 00:39:12 PDT 2009,NO_QUERY,tomvanlamoen,http://twitpic.com/7s8iz Some more parks crashes his truck of the road. As a result I am in the office 45 minutes later than planned 
95840,negative,1792323678,Wed May 13 22:48:23 PDT 2009,NO_QUERY,QueenofSpain,@dtanton oh no still sick? not allowed. we're at 43%. I knew I should have downloaded before I left. Who needs to edit anyway 
701082,negative,2254961661,Sat Jun 20 10:33:01 PDT 2009,NO_QUERY,badlady,"@mattmaclennan   So 13 hours of sleep didn't take you through it, hunh?   "
1271698,positive,2000590469,Mon Jun 01 22:28:00 PDT 2009,NO_QUERY,alitre,@brightsweb no - its says to ask the Awesome Aleta 
980798,positive,1834054676,Mon May 18 01:27:19 PDT 2009,NO_QUERY,endlessblush,@KallieT you're gorgeous woman to me 
330732,negative,2012380024,Tue Jun 02 20:32:54 PDT 2009,NO_QUERY,klassiqkdeevuh,@lingeriepr nobodys ever given me one! sounds crazy i know but i can only bust when I do it 
1030740,positive,1932968371,Tue May 26 22:39:28 PDT 2009,NO_QUERY,sampada,@shradhac Thanks 
1284671,positive,2002065583,Tue Jun 02 03:01:39 PDT 2009,NO_QUERY,rzester,Ahh.  Wine makes all the whine go away 
1501801,positive,2071540388,Sun Jun 07 19:33:44 PDT 2009,NO_QUERY,Miragi,@ToddBrink I love that show!!  Who knew you could live in a pod when you went to prison?  
1244957,positive,1994954363,Mon Jun 01 12:43:18 PDT 2009,NO_QUERY,trixifone,@Marne : We may have a bbq brunch unveiling soonish   I'll be posting pic's when we are done too. #Gorillalandscaping
583689,negative,2215028373,Wed Jun 17 17:34:19 PDT 2009,NO_QUERY,Newfie_MommaBea,@bsbkaoschick I know im so sad we have to pay i cant afford to right now 
89003,negative,1755124769,Sun May 10 08:19:24 PDT 2009,NO_QUERY,Berry_Bunny,"So guys, if you`ve got any animal crossing friendcodes write, im lonely "
1478066,positive,2066409820,Sun Jun 07 10:28:03 PDT 2009,NO_QUERY,lyssaMing,Lifes good 
621497,negative,2228832126,Thu Jun 18 14:56:38 PDT 2009,NO_QUERY,YuriJubilee,I'm having trouble keeping my eyes open.  I still have three hours of work left. 
58132,negative,1685828169,Sun May 03 02:17:40 PDT 2009,NO_QUERY,dexbadgett,Ehhh this is close enough to making it all night..i'm gonna crash now..starting 3rd shift tomorrow at 11pm 
1352733,positive,2046543812,Fri Jun 05 12:20:04 PDT 2009,NO_QUERY,anaaacampos,life's greattttttt 
564890,negative,2206342035,Wed Jun 17 06:23:38 PDT 2009,NO_QUERY,mandalee85,@kr1tter yaaaay Kyle!! I miss you 
125665,negative,1834357123,Mon May 18 02:37:34 PDT 2009,NO_QUERY,h0ll0wd0ll,Boo! I keep losing followers ... am I that awful? 
466757,negative,2175632681,Mon Jun 15 01:32:36 PDT 2009,NO_QUERY,HayleyNewland,@cjohnson103 Its foggy as hell here!  Where did the sun go 
1247247,positive,1995507753,Mon Jun 01 13:36:06 PDT 2009,NO_QUERY,Ps8612,@angelayee http://twitpic.com/4eou9 - Man! ur dad's hair looks luxurious! 
642807,negative,2235602634,Fri Jun 19 01:36:50 PDT 2009,NO_QUERY,singtowngirl,"@froren  Sorry! You are being freed tomorrow? Want some good suggestions for food, or have you already discovered localnoodles.com ?"
329616,negative,2011533034,Tue Jun 02 19:10:08 PDT 2009,NO_QUERY,JennyLou31,@heatherbilodeau ooh i'm sorry. 
111940,negative,1825284353,Sun May 17 05:06:49 PDT 2009,NO_QUERY,BeckyBop,Relaxing listening to Radio one. Forgot eurovision was on last night  Had a good night though.
1230688,positive,1991608180,Mon Jun 01 07:20:46 PDT 2009,NO_QUERY,wchao48364,West Coast bound 
1352054,positive,2046238733,Fri Jun 05 11:53:35 PDT 2009,NO_QUERY,VIOLANILE,@WhoIsLouHarvey  You have to use such networks appropiately seperate  &quot;U&quot; from ur &quot;brand&quot;...thats all for you Mr. 
1419535,positive,2057976590,Sat Jun 06 14:01:30 PDT 2009,NO_QUERY,_LiZz,SPARKS WiN... 
1566112,positive,2187706442,Mon Jun 15 20:40:55 PDT 2009,NO_QUERY,420thoughts,"@chrisjbrandon  and its challenging! lol. I say too much mean stuff, but its all in good fun. no mean-spiritedness, just jokes."
1009298,positive,1880887076,Fri May 22 02:51:25 PDT 2009,NO_QUERY,jennyc28,"Oh and it's a long weekend too.... so double, triple and quadruple YAY!! "
250378,negative,1983202855,Sun May 31 12:42:12 PDT 2009,NO_QUERY,natybrzl,"@Dannymcfly trying to play my guitar, what a disaster i am.  xx"
1560337,positive,2186316984,Mon Jun 15 18:40:02 PDT 2009,NO_QUERY,Wizz_Dumb,@Lauraeliece HEEEEEEEEEEEEYYYY LAURA!!!  &quot;LET THAT BOOTIE FREE&quot; LOL (inside joke guys) 
1541187,positive,2180701029,Mon Jun 15 10:49:37 PDT 2009,NO_QUERY,Lolakiahna,"home again, after a nice spinning hour at the gym "
1348491,positive,2044896965,Fri Jun 05 09:57:48 PDT 2009,NO_QUERY,mmWine,@RachelKatz It's a good workout! THink of the calve muscles you just created 
882911,positive,1686043102,Sun May 03 03:27:23 PDT 2009,NO_QUERY,lynneerskine,McFly will be on t4 all day 2day 
735983,negative,2264910902,Sun Jun 21 05:17:15 PDT 2009,NO_QUERY,twityourtrip,flat tyre...had to walk back home 
445974,negative,2068275001,Sun Jun 07 13:48:10 PDT 2009,NO_QUERY,EnchantdEnigma,@secondpower 
1476893,positive,2066175605,Sun Jun 07 10:01:44 PDT 2009,NO_QUERY,Knifty_Knitter,Started crocheting some cotton dishcloths last night. Sometimes it's nice just to mindlessly work without having to follow a pattern. 
970507,positive,1828040390,Sun May 17 11:58:10 PDT 2009,NO_QUERY,LacyAnne1,@sexyirishbitch glad too hear some good news  I know your relieved!
1107030,positive,1971514545,Sat May 30 07:17:09 PDT 2009,NO_QUERY,jscrinc,@Suspect2161 im following you if tht what you mean 
1440168,positive,2061620992,Sat Jun 06 21:15:10 PDT 2009,NO_QUERY,AnaPaulaPereira,@moxie_88 The Marauders' Map!! We should make a Saints' Map for the Hills!!! That would be SO AWESOME! hahaha  Love you! xo
